2022-10-10 17:46:20.584 launcher -interactive -> Human Player
2022-10-10 17:46:20.612 launcher -auto -> Computer Player
2022-10-10 17:51:36.345 launcher 521
2022-10-10 17:51:36.426 player greater
2022-10-10 17:51:36.428 player lower
2022-10-10 17:51:36.428 player lower
2022-10-10 17:51:36.429 player lower
2022-10-10 17:51:36.430 player lower
2022-10-10 17:51:36.431 player lower
2022-10-10 17:51:36.432 player lower
2022-10-10 17:51:36.433 player lower
2022-10-10 17:51:36.434 player lower
2022-10-10 17:51:36.435 player lower
2022-10-10 17:51:36.436 player lower
2022-10-10 17:51:36.438 player lower
2022-10-10 17:51:36.439 player lower
2022-10-10 17:51:36.439 player lower
2022-10-10 17:51:36.444 player lower
2022-10-10 17:51:36.445 player lower
2022-10-10 17:51:36.446 player lower
2022-10-10 17:51:36.447 player lower
2022-10-10 17:51:36.448 player lower
2022-10-10 17:51:36.448 player lower
2022-10-10 17:51:36.449 player lower
2022-10-10 17:51:36.450 player lower
2022-10-10 17:51:36.451 player lower
2022-10-10 17:51:36.452 player lower
2022-10-10 17:51:36.453 player lower
2022-10-10 17:51:36.454 player lower
2022-10-10 17:51:36.455 player lower
2022-10-10 17:51:36.456 player lower
2022-10-10 17:51:36.457 player lower
2022-10-10 17:51:36.457 player lower
2022-10-10 17:51:36.458 player lower
2022-10-10 17:51:36.459 player lower
2022-10-10 17:51:36.460 player lower
2022-10-10 17:51:36.461 player lower
2022-10-10 17:51:36.462 player lower
2022-10-10 17:51:36.463 player lower
2022-10-10 17:51:36.464 player lower
2022-10-10 17:51:36.465 player lower
2022-10-10 17:51:36.465 player lower
2022-10-10 17:51:36.466 player lower
2022-10-10 17:51:36.467 player lower
2022-10-10 17:51:36.468 player lower
2022-10-10 17:51:36.469 player lower
2022-10-10 17:51:36.470 player lower
2022-10-10 17:51:36.471 player lower
2022-10-10 17:51:36.472 player lower
2022-10-10 17:51:36.473 player lower
2022-10-10 17:51:36.474 player lower
2022-10-10 17:51:36.475 player lower
2022-10-10 17:51:36.476 player lower
2022-10-10 17:51:36.476 player lower
2022-10-10 17:51:36.477 player lower
2022-10-10 17:51:36.478 player lower
2022-10-10 17:51:36.479 player lower
2022-10-10 17:51:36.480 player greater
2022-10-10 17:51:36.481 player lower
2022-10-10 17:51:36.482 player lower
2022-10-10 17:51:36.483 player lower
2022-10-10 17:51:36.485 player lower
2022-10-10 17:51:36.486 player lower
2022-10-10 17:51:36.487 player greater
2022-10-10 17:51:36.488 player lower
2022-10-10 17:51:36.489 simulation win
2022-10-10 17:51:36.492 simulation Time execution -> 00:00.064
2022-10-10 17:51:36.501 simulation Number of tries -> 63
